0,"ATU # 288C * ""The Deliberate Turtle"""
1,ATU # Other_Animals_and_Objects_220–299 Other Animals & Opposites
2,"ATU # 1804D ""The Shadow of the Donkey"""
3,ATU # Other_Jokes_about_Religious_Figures_1800-1849OtherJokesaboutReligiousFigures
4,"TMI # J1169.7 ""Suit about the ass's shadow."""
5,ATU # 281A *
6,"ATU # 281 ""Miscellaneous Tales of Gnats (previously The Gnats and the Horse)"""
7,"ATU # 929 ""Clever Defenses"""
8,ATU # Clever_Acts_and_Words_920–929 Clever and responsive actions or answers
9,"TMI # J1130 ""Cleverness in law court - general."""
10,"TMI # N178 ""Loss of eye saves man from execution."""
11,"TMI # N251.1 ""Man captured by pirates is maimed, crippled, blinded."""
12,"ATU # 1449 * ""The Stingy Hostess at the Inn"""
13,ATU # Stories_about_a_Woman_1440-1524SchwänkeüberjungeundalteFrauen
14,"TMI # J1561.4.1 ""Hostess says she has no spoons."""
15,"ATU # 1462 ""The Unwilling Suitor Advised from the Tree"""
16,ATU # Looking_for_a_Wife_1450-1474Brautproben
17,"TMI # K1971.6 ""Girl behind the tree advises the unwilling suitor."""
18,"ATU # 1594 ""The Donkey Is Not at Home"""
19,"ATU # 161A * ""The Bear with the Wooden Leg"""
20,ATU # Wild_Animals_and_Humans_150–199 The Man and the Wild Animals
21,ATU # 163B *
22,ATU # 117 *
23,"ATU # 47D ""The Dog Wants to Imitate the Wolf (Previously The Dog Imitating a Wolf Wants to Slay a Horse)"""
24,"TMI # J2187 ""The bear riding the horse lets his paws fall on the horse's flanks."""
25,"ATU # 1698I ""Visiting the Sick"""
26,ATU # The_Stupid_Man_1675-1724DerdummeMann
27,"TMI # X111.9 ""Deaf man visits the sick."""
28,"ATU # 910M ""Prayers for the Tyrant"""
29,ATU # Good_Precepts_910–919 Good Ratio
30,"TMI # J215.2.1 ""Old woman prays for safety of cruel tyrant for fear a worse one will succeed him."""
31,"ATU # 1369 ""The Woman's Tree"""
32,ATU # Stories_about_Married_Couples_1350–1439 Swing About Spouses
33,"TMI # J1442.11.1 ""The cynic's wish."""
34,"TMI # J1442.11 ""The cynic and the fig tree."""
35,"ATU # 830A ""The Boastful Deerslayer"""
36,ATU # Other_Religious_Tales_827–849 Other Religious Tales 827–849
37,"TMI # A2412.1.1 ""White markings on deer."""
38,"TMI # Q223.2 ""Neglect to thank god punished."""
39,"TMI # E161 ""Killed game revives and flies away."""
40,"TMI # Q221.6 ""Lack of trust in God punished."""
41,"ATU # 1204 ** ""Milking and Hen"""
42,ATU # Stories_about_a_Fool_1200-1349Schildbürgergeschichten (Gruppennarren)
43,"TMI # J1900 ""Absurd disregard or ignorance of animal's nature or habits."""
44,"ATU # 921D * ""Witty Answers"""
45,ATU # 1702C *
46,"TMI # K318 ""Watchdog enticed away."""
47,"TMI # J1252 ""Quibbling answers."""
48,"ATU # 924 ""Discussion in Sign Language"""
49,ATU # 924A
50,ATU # 924B
51,"TMI # J1804 ""Conversation by sign language mutually misunderstood."""
52,"TMI # H607.1 ""Discussion between priest and Jew carried on by symbols."""
53,"ATU # 1931 ""The Woman Who Asked for News from Home"""
54,ETK 2405: The finger language
55,ETK 2603: untitled
56,"ATU # 162 ""The Master Looks More Closely Than the Farmhand"""
57,"TMI # J1032 ""Stag found by master when overlooked by servants."""
58,"TMI # J582.1 ""Hidden goat discovered by his horn protruding above ground."""
59,ATU # 1288 *
60,"ATU # 1288 ""Numskulls Cannot Find Their Own Legs"""
61,ATU # 842b *
